key|english|japanese
LANG|English|日本語
GET_IP_ADDRESS|GORACLE Node IP Address|ゴラクルノードのIPアドレスを取得する
GET_REMOTE_USER|Get the current user as the remote username|リモートユーザーとして現在のユーザーを取得する
SET_REMOTE_BACKUP_DIR|Set the remote backup directory|リモートバックアップディレクトリを設定する
SET_LOCAL_BACKUP_DIR|Set the local directory to save backup files|バックアップファイルを保存するローカルディレクトリを設定する
GET_SSH_PORT|Get the ssh port number from the sshd_config file|sshd_configファイルからsshポート番号を取得する
CHECK_SSH_KEYS|Check if SSH keys exist|SSHキーが存在するかを確認する
RSYNC_SSH_KEYS|Rsync with SSH keys|SSHキーを使用してrsyncを実行する
RSYNC_WITHOUT_SSH_KEYS|Rsync without SSH keys|SSHキーを使用せずにrsyncを実行する
SSH_KEY_DETECTED|SSH key type|SSH key type
DOWNLOAD_BACKUP|To download backup file from the GORACLE Node,run the following command in your local machine's terminal|ゴラクルノードからバックアップファイルをダウンロードするには、ローカルマシンの端末で次のコマンドを実行します
REMOTE_SERVER|GORACLE Node|ゴラクルノード
LOCAL_MACHINE|Local Machine|ローカルマシン
UPLOAD_BACKUP|To upload backup files from your local machine to the GORACLE Node,run the following command in your terminal on the local machine.|ローカルマシンからバックアップファイルをゴラクルノードにアップロードするには、ローカルマシンのターミナルで次のコマンドを実行します
SSH_KEY_NOT_DETECTED|※ SSH key was not detected|※ SSHキーは検出されませんでした
REPLACE|Replace| 
PRIVATE_KEY_PATH_FILENAME|with the appropriate path and filename of your private key.|の箇所は、適切なパスと秘密鍵のファイル名に置き換えてください
GORACLE_NODE_IP|IP Address|IP Address
GORACLE_NODE_USER|User|User
GORACLE_NODE_BACKUP_FILE|Backup File|Backup File
GORACLE_NODE_LOCAL_DIR|Local Directory|Local Directory
GORACLE_NODE_SSH_PORT|SSH Port|SSH Port
GORACLE_NODE_SSHKEY_TYPE|SSH Key Type|SSH Key Type
NOTE|Note|重要
YOUR_GORACLE_NODE|Your GORACLE Node|Your GORACLE Node
